"key","url","username","title","description","favicon","tag1","tag2","tag3","tag4","tag5"
"-58","https://www.quora.com/What-is-seed-funding-and-how-does-it-work","Xiaoyun Yang","What is seed funding and how you get it","Answer on Quora","Discussion","Fundraising","business","NULL","NULL","NULL"
"-59","https://medium.com/data-lab/introducing-charted-15161b2cd71e#.lzzvhvtbs","Xiaoyun Yang","What is Charted and how Medium uses it","An article written by Medium on their open source project","Reading","UX","Design","frontend","datavis","NULL"
"-60","https://medium.com/life-learning/vcs-fund-people-and-products-not-pitch-decks-c692847b555b#.8r0am11sf","Xiaoyun Yang","How to pitch to a VC","","Reading","Fundraising","NULL","NULL","NULL","NULL"
"-61","https://medium.com/@nchirls/the-current-state-of-seed-investing-c2929443058f#.rxl354yvn","Xiaoyun Yang","The current state of ""seed"" funding","things you need to know if you're a first time entrepreneur looking for seed funding","Reading","Fundraising","NULL","NULL","NULL","NULL"
"-63","https://productforums.google.com/forum/#!topic/docs/An-nZtjaupU","Xiaoyun Yang","Publish google sheets to the web in CSV format","","Discussion","Engineering","frontend","bootstrapping","NULL","NULL"
"-64","https://medium.com/conquering-corporate-america/9-ways-to-look-smart-at-your-next-tech-conference-accb19d1b266#.wzszmucbr","Xiaoyun Yang","9 Ways to look smart at your next tech conference","Funny but true lessons on how to behave yourself at tech conferences to stand out and promote your business.","Reading","Marketing","traction","NULL","NULL","NULL"
"-65","http://www.businessinsider.com/lessons-entrepreneurs-learned-in-their-20s-2015-1?op=1#ixzz3R8FgYzyR","Xiaoyun Yang","15 Entrepreneurs share the most important lessons they learned in their 20s","","Reading","learning","lessons","NULL","NULL","NULL"
"-66","http://bl.ocks.org/pbogden/d46d6dbfcd6f35a3ccda","Xiaoyun Yang","Retrieve data as CSV from google sheets","Using CORS. hosted on bl.ocks.","Reading","Engineering","frontend","learning","bootstrapping","NULL"
"-67","http://www.vulture.com/2016/01/100-jokes-shaped-modern-comedy-c-v-r.html?utm_source=pocket&utm_medium=email&utm_campaign=pockethits","Xiaoyun Yang","100 Jokes that changed modern history","Awesome timeline navigation features","Interactive","Engineering","datavis","idea","NULL","NULL"
"-68","http://www.nsf.gov/eng/iip/sbir/topics/EA.jsp","LooseLeaf","NSF SBIR | Educational Technology and Application","EA2. Global, Distance, and Higher Education - EA 2 topics can include 1) innovative applications that use online learning, hybrid learning, crowdsourcing, collective intelligence, and collaborative models with new tools with the potential to deliver new and powerful educational opportunities in STEM disciplines; 2) learning environments that allow students to control and experiment with educational situations in relationship to their personal learning style to acquire knowledge anytime, anywhere; 3) technologies that enable innovative forms of educational collaboration across national boundaries and promotes international awareness, diversity, and understanding; 4) learning applications that provide for better decision making and informed judgments about problems and situations affecting global issues related to theory and education technology; 5) projects in which technology allows the tailoring of learning experiences to special needs and interests of groups or individuals or allows expanding formal education beyond classroom settings; 6) virtual and remote laboratories that enhance the physical science laboratory for use in global and distance learning to leverage time and availability of equipment that may otherwise be unavailable; and 7) personal learning environments that allow students to control their environment in relationship to their personal learning style in order to acquire knowledge with consideration of their mentor's expectations.","Website","Fundraising","NULL","NULL","NULL","NULL"
"-69","http://www.ncbi.nlm.nih.gov/books/NBK9607/","LooseLeaf","NSF SBIR - how to get research grants from the government for your startup","IT8. Big Data; Advanced Data Analytics - This subtopic focuses on information technology innovations in the fields of big data and advanced data analytics. These fields cover a wide range of technical sub-specialties and applications, and the examples provided are indicative only. Examples of relevant technical fields include (but are not limited to): predictive analytics; simulation; optimization; data visualization; network visualization; visual data analytics and optimization (image and video); data fusion and integration.","Reading","Fundraising","NULL","NULL","NULL","NULL"
"-70","https://www.nsf.gov/eng/iip/sbir/topics/IT.jsp","LooseLeaf","NSF SBIR | information technology","","Website","Fundraising","NULL","NULL","NULL","NULL"
"-71","http://www.businessinsider.com/time-management-tips-for-young-professionals-2015-1?op=1","Xiaoyun Yang","Time Management tips for young professionals","My favorite lessons include ""Get working...worry about quality later"", ""Timebox everything...good decisions often get made with less time, not more."", and  ""Don't schedule like a robot. The more precise a task or objective is, the easier it is to miss""","Reading","learning","NULL","NULL","NULL","NULL"
"-72","https://www.cbinsights.com/blog/startup-failure-post-mortem/","CB Insight","156 Startups Failure Post-Mortems","","Reading","learning","lessons","NULL","NULL","NULL"
"-73","https://medium.com/@kennelliott/39-studies-about-human-perception-in-30-minutes-4728f9e31a73#.56dwqmgkz","Xiaoyun Yang","39 studies about human perception in 30 minutes","","Reading","UX","Design","datavis","learning","NULL"
"-74","https://medium.com/@xiaoyunyang/thank-you-for-this-93394489a2f3#.lj76bn4be","Xiaoyun Yang","The systemic problem with the job market and higher education market","A long response I wrote to a person's article on Medium about why he feels justified to not pay his student loans. In the response, I point out the specific issues with higher education and a view of alternative to getting a degree, mainly online education. MOOC was not big in 2009 when I was applying to colleges. However, online education technology and information technology has developed overtime to be truly competitive with offering people high quality of learnining with no cost. This is the motivation for investing in online learning and information technology platforms, such as LooseLeaf.","Reading","Marketing","business","use case","idea","NULL"
"-75","https://bost.ocks.org/mike/algorithms/","Xiaoyun Yang","Visualizing Algorithms","Article written by mike Botstock","Interactive","Engineering","datavis","learning","NULL","NULL"
"-76","https://medium.com/product-hunt/tools-to-make-your-social-media-game-fire-fd5bd7af016c#.j1rsp0g2d","Xiaoyun Yang","Tools for Social Media account","","Reading","Marketing","business","traction","NULL","NULL"
"-77","http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html","Xiaoyun Yang","512 path to the white house","made by Mike Botstock","Interactive","Engineering","frontend","datavis","idea","NULL"
"-78","http://www.atomic-squirrel.net/startup-checklist/?ref=ybrikman-launch-post","Jevgeniy Brikman","The Startup Checklist","","Interactive","Fundraising","business","idea","resources","NULL"
"-79","https://www.themuse.com/advice/what-startups-should-know-about-hiring-a-lawyer","Jevgeniy Brikman","What Startups Should Know About Hiring A Lawyer","","Reading","business","legal","NULL","NULL","NULL"
"-80","https://www.sba.gov/starting-business/choose-register-your-business/choose-your-business-name","Jevgeniy Brikman","How to Name a Business","","Reading","business","legal","NULL","NULL","NULL"
"-81","http://mashable.com/2014/02/17/incorporate-your-startup/#lpt.Tt3Hlmqh","Jevgeniy Brikman","When you need to incorporate","8 situations when you need to incorporate","Reading","business","legal","learning","NULL","NULL"
"-82","https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers-eins","Jevgeniy Brikman","Employer ID Number","","Reading","business","legal","learning","NULL","NULL"
"-83","https://www.sendwithus.com/resources/templates","Jevgeniy Brikman","Email Templates","Responsive, free, and community driven email templates from Sendwithus","Website","Marketing","Product","resources","traction","NULL"
"-84","https://pixabay.com/","Xiaoyun Yang","Public Domain Free Images","","Website","Marketing","UX","photos","NULL","NULL"
"-85","http://autopsy.io/","Xiaoyun Yang","Failed Startup Autopsy","","Website","business","lessons","NULL","NULL","NULL"
"-86","http://publicdomainvectors.org/","Xiaoyun Yang","Public Domain Vectors","","Website","UX","Design","resources","NULL","NULL"
"-87","https://www.campaignmonitor.com/email-templates/#gallery","Xiaoyun Yang","HTML Email Template from Campaign Monitor","","Website","Marketing","Product","resources","traction","NULL"
"-88","http://mailchimp.com/features/email-templates/","Xiaoyun Yang","Email Templates from Chimp Monkey","","Website","Marketing","Product","resources","traction","NULL"
"-89","http://www.hello-startup.net/resources/design/?ref=startup-checklist","Jevgeniy Brikman","Hello Startup Design Resources","","Website","UX","resources","Design","NULL","NULL"
"-90","https://www.wikiwand.com/en/User_story","Jevgeniy Brikman","User Stories","","Reading","Marketing","business","use case","learning","NULL"
"-91","https://www.wikiwand.com/en/Persona_(user_experience)","Jevgeniy Brikman","Persona","","Reading","Marketing","business","use case","learning","NULL"
"-92","http://www.hello-startup.net/resources/images-photos-graphics/?ref=startup-checklist","Jevgeniy Brikman","Hello Startup Photos and Graphics resources","","Website","Marketing","resources","Design","NULL","NULL"
"-93","https://picjumbo.com/","Xiaoyun Yang","Free Stock Photos","","Website","Marketing","resources","photos","NULL","NULL"
"-94","http://www.hello-startup.net/resources/idea-validation/?ref=startup-checklist","Jevgeniy Brikman","Hello Startup Market Validation","","Website","Marketing","resources","traction","NULL","NULL"
"-95","http://www.hello-startup.net/resources/monetization/","Jevgeniy Brikman","Hello Startup Monetization","","Website","business","Resources","NULL","NULL","NULL"
"-96","http://www.hello-startup.net/resources/idea-validation/?ref=startup-checklist","Jevgeniy Brikman","Hello Startup Validating Your Ideas","","Website","Marketing","business","resources","NULL","NULL"
"-97","http://www.hello-startup.net/resources/mvp/","Jevgeniy Brikman","Hello Startup Minimum Viable Product","","Website","Marketing","business","resources","NULL","NULL"
"-98","http://www.hello-startup.net/resources/distribution/","Jevgeniy Brikman","Hello Startup Distribution Channels","","Website","Marketing","business","resources","NULL","NULL"
"-99","https://medium.com/the-coffeelicious/7-famous-quotes-re-imagined-as-clickbait-headlines-31d16469f8b7#.x6rcawz9t","Xiaoyun Yang","Click Bait Headlines for Blogs Ideas","","Reading","Marketing","traction","learning","blogging","NULL"
