key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-11,https://www.youtube.com/watch?v=bBS2qDCFzD8,TED,The death of democracy: Daylin Leach at TEDxPhoenixville,,Video,democracy,policies,NULL,NULL,NULL
-12,https://www.youtube.com/watch?v=PJy8vTu66tE,TED,Our democracy no longer represents the people,"Larry Lessig talks about how an average American's vote carries little to no weight in effecting change. Issues with Gerrymandering, party membership cost and donations are discussed.",Video,democracy,policies,NULL,NULL,NULL
-13,https://www.youtube.com/watch?v=h2p1-8IWB08,TED,Storytelling using data visualization,"Lam Ghuy Vo gives this talk on constructing active storytelling using data visualization. Insight gained from this talk includes the various story telling format, including Chronological (time), logical, and spatial/location proximity.",Video,datavis,design,NULL,NULL,NULL
-14,https://www.youtube.com/watch?v=6BTg8OXhEZk,TED,Open data driven policies,Ben Wellington talks about how public decision making should be more data-driven and how data visualization can be used to make public data more accessible to people.,Video,datavis,policies,data,NULL,NULL
-15,http://www.ybrikman.com/writing/2014/05/19/dont-learn-to-code-learn-to-think/,Yevgeniy Brikman,Don't learn to code. Learn to think.,Coding is not about memorizing syntax. It's about problem solving.,Reading,coding,philosophy,learning,NULL,NULL
-16,http://www.engineergirl.org/28604.aspx,Xiaoyun Yang,My Advice to a Middle School Girl about Becoming a Software Engineer,My response to a question asked on Engineer Girl about what it takes to be a software engineer and a programmer,Discussion,coding,learning,advice,NULL,NULL
-17,http://www.engineergirl.org/28398.aspx,Xiaoyun Yang,What It Takes To Be A Female Engineer,I responded a question on Engineer Girl and provided some tips about the process and choices one needs to make starting from High School to become a female engineer,Discussion,career,college,advice,NULL,NULL
-18,http://www.engineergirl.org/28312.aspx,Xiaoyun Yang,How Important Is Writing In My Job,My response to a question asked on Engineer Girl about what it takes to be a software engineer and a programmer,Discussion,career,advice,NULL,NULL,NULL
-19,http://www.engineergirl.org/27947.aspx,Xiaoyun Yang,What Skills You Need To Become A Successful Engineer,I gave a reponse on Engineer Girl on the skills you need to be a successful engineer,Discussion,engineering,advice,NULL,NULL,NULL
-20,http://theoatmeal.com/blog/net_neutrality,The Oatmeal,How Net Neutrality Actually Works,A comic from the Oatmeal which explains how net neutrality works. This is apparently a response to a tweet by Ted Cruz. One of the most educational and entertaining Infographics I have ever seen.,Image,policies,humor,NULL,NULL,NULL
-21,http://churchm.ag/if-programming-languages-were-essays-comic/,Xiaoyun Yang,If Programming Languages Were Essays,Metaphor for programming languages. Funny Comic.,Image,coding,NULL,NULL,NULL,NULL
-22,http://www.techiesproject.com/,Helena Price,Techies: Portraits of Silicon Valley Employees,Techies is a portrait project created to share stories of tech employees in Silicon Valley.,Website,startup,tech,NULL,NULL,NULL
-23,https://www.youtube.com/watch?v=ZOKcedfE_nM,Xiaoyun Yang,Freemium business model lecture,"Chris Anderson, the author of ""Free: The Future of a Radical Price"", discusses the freemium business model (give away 90% of your stuff for free and upsell the remaining 10% to the power users). There other kinds of economies besides the monetary economy, for example, the time economy (people pay to save time) and the reputation economy.",Video,startup,business,learning,NULL,NULL
-24,https://medium.com/@xiaoyunyang/why-is-that-91754f6b72bc#.ukq0rnw8z,LooseLeaf,Entreneurship should be easy and fun,Why Entrepreneurship is hard and how a virtual community for mentorship can help.,Reading,startup,learning,community,NULL,NULL
